group1,group2,value
A,Y,7.446924550343875
A,Y,17.67445622835999
A,Y,6.304135836913859
A,Y,37.79215343351933
A,Y,10.755318846803519
A,Y,4.4180811203156125
A,Y,3.886327021467885
A,Y,9.869838090892149
A,Y,6.461893128464662
A,Y,11.340725762308535
A,Y,9.815301786598617
A,Y,7.073126850809353
A,Y,4.445639682382387
A,Y,2.977522756944278
A,Y,5.652461018175758
A,Y,12.352262894263283
A,Y,8.401886353055902
A,Y,3.4992782493989742
A,Y,8.198150298825103
A,Y,9.310943491069176
A,Y,4.3478676881137135
A,Y,8.103005672820954
A,Y,7.651679996145779
A,Y,3.7218387034846656
B,X,10.792955795534276
B,X,11.945949455075771
B,X,15.510630407442632
B,X,15.285444351720853
B,X,4.532008940990829
B,X,5.64679134354429
B,X,11.675791942684835
B,X,11.668500841570793
B,X,11.675864444308544
B,X,61.95236264782652
B,X,12.006465007591224
B,X,15.923290043526132
B,X,14.541416405168098
B,X,12.499587273621918
B,X,7.708821925719378
B,X,13.190338242331485
B,X,6.132407372848227
B,X,8.01721172831194
B,X,7.080313781082209
B,X,9.402137618938845
B,X,28.712405688824546
B,X,3.547940888175526
B,X,12.719421727286598
B,X,4.029499055576963
B,X,7.128024070845976
B,X,15.556449297838803
B,X,9.31978919190832
B,X,5.2652446462748905
B,X,6.31134082067085
B,X,12.677121021694422
B,X,6.263985752253357
B,X,10.056601603141406
B,X,9.233017516507973
B,X,6.5156034187087135
B,X,26.363277675108165
B,X,12.39086504446387
B,X,3.2786400144456627
B,X,9.906857136084678
B,X,6.482503430443472
B,X,13.82137998288354
B,X,6.072313266752385
B,X,8.521835733120405
B,X,11.617279937744248
B,X,13.913750518423031
B,X,4.952298421908298
B,X,7.635049195585677
B,X,7.117292202278998
B,X,6.509973488031243
B,X,21.817821157822998
B,X,11.050667744234572
B,X,4.80452423442656
B,X,14.281014153286206
B,X,26.0776362536852
B,X,15.123239951088499
B,X,4.22202561747168
B,X,7.084313428923867
B,X,17.004118417913777
B,X,6.335478015433631
B,X,11.26735621060861
B,X,13.294056115359062
B,X,5.677634951312815
B,X,8.76036282061563
B,X,1.7849070302211416
B,X,5.40760436839484
B,X,7.954325941855643
B,X,4.836099024231501
B,X,20.41368791283741
B,X,4.4146533344057985
B,X,7.242581884096477
B,X,9.634691557530804
B,X,18.553095427384168
B,X,4.402043761846583
B,X,16.14453941986639
B,X,9.071308590482067
B,X,5.524792413473792
B,X,11.370834922581242
B,X,9.969494173047467
B,X,6.685169472691996
B,X,9.345556993433714
B,X,7.4435151343937465
B,X,9.5520775241114
B,X,12.566886980796205
B,X,19.94559681748594
B,X,4.860261536633412
B,X,26.219848160225087
B,X,3.4006143287898487
B,X,8.365427613362504
B,X,12.111538620887446
B,X,10.38638624637572
B,X,6.610440149608364
B,X,8.13307332450401
B,X,7.053327791874264
B,X,6.72154219512653
B,X,13.801828018657146
B,X,10.788791196173877
B,X,6.382406383683935
B,X,14.15120723932366
B,X,10.523909465156382
B,X,13.550603152294274
B,X,12.364314008686474
B,Y,5.488214601586929
B,Y,6.448782645622617
B,Y,14.131073445686749
B,Y,13.016556958008794
B,Y,8.912537948446067
B,Y,9.683238779487004
B,Y,19.425738964741225
B,Y,6.328461557315292
B,Y,12.531662337479633
B,Y,7.993945227302398
B,Y,7.920000572119703
B,Y,17.4487168185722
B,Y,14.809217772943532
B,Y,14.70379732127048
B,Y,19.752642587448808
B,Y,9.139469159770156
B,Y,13.587792546503431
B,Y,7.49203117773881
B,Y,10.962713264299493
B,Y,8.347099951839997
B,Y,9.56583196260907
B,Y,12.898283174493262
B,Y,5.523808621644316
B,Y,31.671979590805634
B,Y,4.935182096049202
B,Y,4.355706534215862
B,Y,18.081087890707458
B,Y,14.512315247672332
B,Y,13.124384212462022
B,Y,13.157702196971396
B,Y,8.958940178057683
B,Y,5.267982053152864
B,Y,9.444973874814428
B,Y,6.011672362154471
B,Y,16.200981714304028
B,Y,8.262817004502583
B,Y,5.499744749196555
B,Y,7.442214817053784
B,Y,11.562404837858093
B,Y,6.435086405059485
B,Y,5.510568327927228
B,Y,10.44592893486108
B,Y,10.453950472980384
B,Y,6.658099575292452
B,Y,6.803090652389144
B,Y,10.373245697423592
B,Y,3.785391798860003
B,Y,3.878784127695119
B,Y,5.864595241831605
B,Y,7.940146365036969
B,Y,10.875847873977307
B,Y,21.87214107896994
B,Y,15.098505628465148
B,Y,8.19920240635673
B,Y,8.922625798109774
B,Y,4.945521310302131
B,Y,8.925319438060784
B,Y,7.589796782295041
B,Y,10.953194361189661
B,Y,5.494026625062726
B,Y,12.324731177623287
B,Y,22.638304202236128
B,Y,8.45488102694158
B,Y,11.484829990162037
B,Y,13.654735643138116
B,Y,7.094130250703814
B,Y,10.323836956728767
B,Y,9.093459696643754
B,Y,9.569736385199484
B,Y,5.675701282188303
B,Y,9.15871701082193
B,Y,12.16787126068915
B,Y,21.556689040054472
B,Y,16.04765119138822
B,Y,32.84861144592952
B,Y,5.6950163182942815
B,Y,15.231907145758132
B,Y,10.074477076844536
B,Y,33.57835825621715
B,Y,5.556792363735309
B,Y,5.453005337113329
B,Y,6.298833217876846
B,Y,2.5235397167098568
B,Y,6.583371413500907
B,Y,5.723156009050757
B,Y,9.877271126973493
B,Y,11.079023940944522
B,Y,27.818534398498876
B,Y,15.962692852954307
B,Y,6.384401862816831
B,Y,5.264315866152581
B,Y,12.123570135540744
B,Y,4.087199741497539
B,Y,27.08216138081836
B,Y,18.313968458689967
B,Y,6.8106979829679295
B,Y,3.2288281919651105
B,Y,20.334590968436945
B,Y,8.42561181715306
B,Y,18.966794402284265
C,X,4.966851660165388
C,X,8.168722145694131
C,X,11.05211541440525
C,X,11.285179281850345
C,X,8.80189698086363
C,X,15.050706990037199
C,X,6.463621634951248
C,X,10.26572070034327
C,X,11.706541824595966
C,X,14.256592296369707
C,X,15.733739811155116
C,X,6.281940654004006
C,X,5.118917109506484
C,X,20.88097403159707
C,X,13.01570891438186
C,X,7.581846197866284
C,X,23.940605393550992
C,X,11.679525097892233
C,X,19.87869573195974
C,X,11.401663213788767
C,X,30.888191613655486
C,X,26.513934400334
C,X,9.732958657380472
C,X,17.91763593326418
C,X,15.22118145815769
C,X,21.852509774487075
C,X,6.804187760170391
C,X,15.533915495297254
C,X,18.712883491898733
C,X,4.575107779398415
C,X,6.100500052670866
C,X,3.976427929393638
C,X,9.63398145042227
C,X,15.78043888704163
C,X,23.363582953283714
C,X,11.439215291628352
C,X,24.88605913996216
C,X,5.528681005457253
C,X,4.703508785640831
C,X,10.721232816307293
C,X,13.356894913877758
C,X,10.844441298147602
C,X,3.9207342697773613
C,X,10.542766450348074
C,X,5.741756935080384
C,X,15.407220673196907
C,X,13.240749041611194
C,X,6.889924360691295
C,X,8.525541509529331
C,X,6.490848352565691
C,X,10.683072200227585
C,X,17.7710576678286
C,X,6.733782199654862
C,X,14.182704903721001
C,X,8.455957231739003
C,X,7.415434593123536
C,X,10.448775766560376
C,X,6.569113151211074
C,X,8.357633788050284
C,X,6.056069871929588
C,X,29.440243546278342
C,X,11.219258112029152
C,X,7.768967292854052
C,X,12.267947359537052
C,X,10.421135204434773
C,X,9.870151473959861
C,X,14.985504242541136
C,X,16.098946821283338
C,X,8.454927658012133
C,X,8.265505407016876
C,X,9.60682853576126
C,X,3.486991805345853
C,X,5.167579871186707
C,X,21.833317607862444
C,X,25.090363716617553
C,X,9.732608807226665
C,X,14.706336885286786
C,X,12.87934772946756
C,X,51.38983571791725
C,X,19.293870517800947
C,X,10.340220608107657
C,X,6.836184673250294
C,X,4.937093708084301
C,X,12.203610101598862
C,X,7.552092123744513
C,X,5.4133771768323555
C,X,7.97820587012364
C,X,6.418766711224997
C,X,25.6250609895639
C,X,17.1298041390756
C,X,10.97932193193602
C,X,23.10322156391024
C,X,11.457953914153876
C,X,7.166073670105638
C,X,23.607442881244598
C,X,14.432101868949914
C,X,6.562534747998126
C,X,10.022480911401917
C,X,7.114897841897113
C,X,5.521227090113332
C,Y,19.215294078259696
C,Y,34.66220791213471
C,Y,4.762912999311663
C,Y,15.452665952443914
C,Y,7.460440483565702
C,Y,8.229495969514455
C,Y,7.725786620195121
C,Y,6.564035215719907
C,Y,11.34881095501567
C,Y,6.695461642928756
C,Y,12.965268073299274
C,Y,10.695864103165567
C,Y,9.550859704744378
C,Y,6.394650636267735
C,Y,7.798545185803887
C,Y,17.343793785197573
C,Y,14.887922481879704
C,Y,6.131668219402556
C,Y,11.70012333565982
C,Y,17.302176001422303
C,Y,4.04854206082645
C,Y,15.271924083145636
C,Y,7.407001819169346
C,Y,15.523565142357455
C,Y,6.972992732991537
C,Y,3.732471965932604
C,Y,4.151520020865241
C,Y,11.345837856521571
C,Y,12.88203237132398
C,Y,6.4071209799131585
C,Y,16.169964453162773
C,Y,4.067741626957439
C,Y,10.594681403513093
C,Y,5.330208097734485
C,Y,7.4550998015134535
C,Y,11.341166996962933
C,Y,6.57813967256969
C,Y,8.751863713013407
C,Y,20.161516942350424
C,Y,7.797981189107738
C,Y,18.199884851809568
C,Y,5.596692997836895
C,Y,15.148212023641156
C,Y,26.178570922887626
C,Y,2.501807072911629
C,Y,6.833676711777165
C,Y,15.583977082313378
C,Y,9.758832461023157
C,Y,13.772688321743022
C,Y,7.672242058405748
C,Y,11.611011005362345
C,Y,10.040166108165824
C,Y,22.212811943769868
C,Y,12.841119795937553
C,Y,13.498270920049686
C,Y,8.609565222223859
C,Y,8.22712206794619
C,Y,8.503391528837458
C,Y,13.966635202134478
C,Y,8.562646487813755
C,Y,13.11642044215746
C,Y,38.2919801686992
C,Y,18.59094849205005
C,Y,9.064683061345013
C,Y,22.662880216878747
C,Y,8.629225674261875
C,Y,3.2450322189122716
C,Y,6.020366955039143
C,Y,3.5877485014530435
C,Y,8.927102816225398
C,Y,11.145669396334888
C,Y,30.140277113461874
C,Y,13.412088461210088
C,Y,9.665276133520207
C,Y,18.131365674525988
C,Y,2.925071177556999
C,Y,12.697037961261474
C,Y,17.505570005786964
C,Y,4.539642445854508
C,Y,21.894871381939844
C,Y,13.505511271866808
C,Y,8.591963173847663
C,Y,16.113688363228952
C,Y,43.05230253954678
C,Y,12.294103448916372
C,Y,12.793437597745841
C,Y,8.367736855250683
C,Y,6.619986815437147
C,Y,18.141488361701217
C,Y,6.595250075833417
C,Y,11.506818150450973
C,Y,8.27637881821855
C,Y,14.693245456755543
C,Y,13.466394196648551
C,Y,20.543076342949853
C,Y,8.117239722154983
C,Y,9.375266881618975
C,Y,6.1272238649841775
C,Y,8.44372906989454
C,Y,13.823641738612695
